index,features,cv_cappa_1,cv_cappa_2,cv_cappa_3,cv_cappa_4,cv_cappa_5,mean,std
3,event+cnt+perf+user,0.30427635804736464,0.30749496427246925,0.3061865174264945,0.3224970999276725,0.2911876050022587,0.306328508935252,0.011138473969728212
2,event+cnt+perf,0.2884801062178266,0.29860780692084643,0.2889562350335353,0.30570151544441126,0.26245388690323057,0.2888399101039701,0.016401911120031285
1,event+cnt,0.2787245977055808,0.2816258676201141,0.27637096983390796,0.308342283725376,0.26538721647903263,0.2820901870728023,0.015909227161312472
0,event,0.1455529983870395,0.16273234786904267,0.11993490869951051,0.1704485617111171,0.15248112850448037,0.15022998903423804,0.019428287498133478
